iter	Passed	Remaining
0	3	3740
1	7	3689
2	10	3648
3	14	3603
4	17	3572
5	22	3700
6	25	3672
7	29	3678
8	32	3628
9	36	3567
10	39	3555
11	43	3558
12	46	3533
13	49	3508
14	54	3560
15	58	3569
16	61	3551
17	64	3543
18	68	3541
19	72	3530
20	74	3476
21	78	3498
22	81	3479
23	86	3503
24	89	3497
25	93	3491
26	96	3490
27	100	3493
28	103	3476
29	106	3451
30	109	3434
31	113	3418
32	116	3407
33	119	3397
34	122	3377
35	125	3364
36	128	3350
37	132	3342
38	135	3335
39	138	3327
40	142	3322
41	145	3316
42	148	3309
43	151	3295
44	155	3297
45	159	3305
46	162	3302
47	166	3296
48	169	3292
49	173	3303
50	177	3302
51	180	3295
52	183	3285
53	187	3283
54	191	3284
55	195	3288
56	199	3302
57	203	3297
58	206	3293
59	209	3289
60	213	3287
61	217	3290
62	220	3285
63	224	3281
64	227	3278
65	231	3277
66	235	3279
67	239	3283
68	243	3287
69	247	3284
70	250	3280
71	253	3273
72	257	3271
73	261	3270
74	266	3282
75	270	3289
76	274	3288
77	277	3283
78	281	3285
79	286	3290
80	289	3282
81	292	3273
82	295	3268
83	299	3265
84	303	3265
85	306	3261
86	310	3256
87	313	3250
88	317	3249
89	320	3245
90	324	3241
91	327	3234
92	331	3229
93	334	3221
94	337	3218
95	341	3212
96	344	3210
97	348	3203
98	351	3194
99	354	3189
100	358	3187
101	361	3186
102	365	3184
103	369	3179
104	373	3179
105	376	3177
106	380	3173
107	383	3167
108	387	3165
109	390	3161
110	394	3159
111	398	3160
112	402	3155
113	405	3151
114	408	3147
115	412	3145
116	416	3142
117	420	3142
118	424	3139
119	427	3134
120	431	3132
121	434	3128
122	438	3126
123	441	3122
124	445	3118
125	448	3113
126	452	3111
127	456	3109
128	459	3105
129	463	3102
130	467	3098
131	470	3093
132	474	3091
133	478	3090
134	481	3087
135	485	3083
136	488	3079
137	492	3075
138	496	3072
139	499	3070
140	503	3065
141	506	3059
142	509	3053
143	512	3047
144	515	3040
145	519	3038
146	522	3032
147	527	3035
148	530	3031
149	534	3029
150	538	3026
151	541	3019
152	544	3015
153	547	3008
154	550	3002
155	554	3002
156	558	2997
157	562	2998
158	566	2994
159	569	2989
160	572	2985
161	576	2981
162	580	2979
163	583	2975
164	587	2970
165	590	2966
166	594	2963
167	597	2959
168	601	2956
169	605	2953
170	608	2948
171	611	2944
172	616	2945
173	619	2941
174	622	2936
175	626	2931
176	629	2926
177	632	2922
178	636	2917
179	639	2914
180	643	2909
181	647	2908
182	650	2904
183	654	2900
184	657	2896
185	660	2892
186	664	2888
187	668	2885
188	671	2882
189	675	2878
190	678	2875
191	682	2874
192	686	2870
193	689	2866
194	693	2863
195	697	2859
196	700	2855
197	703	2851
198	707	2848
199	710	2843
200	714	2838
201	718	2837
202	721	2833
203	725	2829
204	728	2825
205	731	2821
206	735	2816
207	738	2813
208	742	2809
209	745	2805
210	748	2800
211	752	2795
212	755	2791
213	759	2788
214	763	2786
215	766	2781
216	769	2777
217	773	2774
218	777	2771
219	781	2769
220	784	2765
221	788	2762
222	791	2759
223	795	2755
224	798	2752
225	802	2748
226	806	2746
227	810	2742
228	813	2739
229	817	2736
230	820	2732
231	824	2729
232	828	2727
233	832	2723
234	835	2721
235	839	2717
236	843	2715
237	846	2711
238	850	2707
239	853	2703
240	857	2699
241	860	2695
242	864	2692
243	867	2689
244	871	2686
245	875	2682
246	878	2678
247	882	2675
248	885	2671
249	888	2666
250	892	2664
251	896	2661
252	900	2659
253	903	2654
254	907	2650
255	911	2648
256	915	2646
257	918	2642
258	922	2639
259	925	2635
260	929	2631
261	932	2627
262	935	2622
263	939	2618
264	943	2617
265	947	2613
266	950	2609
267	954	2606
268	957	2603
269	961	2598
270	964	2595
271	968	2591
272	971	2587
273	975	2583
274	978	2579
275	982	2576
276	985	2572
277	988	2568
278	992	2565
279	996	2562
280	1000	2561
281	1004	2556
282	1007	2553
283	1011	2549
284	1014	2544
285	1017	2540
286	1022	2539
287	1025	2536
288	1028	2531
289	1032	2528
290	1036	2525
291	1039	2521
292	1043	2517
293	1047	2514
294	1050	2511
295	1054	2508
296	1058	2504
297	1061	2501
298	1065	2497
299	1068	2494
300	1072	2490
301	1075	2485
302	1080	2485
303	1084	2482
304	1087	2478
305	1091	2474
306	1095	2471
307	1098	2467
308	1101	2464
309	1105	2461
310	1109	2456
311	1112	2453
312	1115	2448
313	1119	2445
314	1122	2441
315	1126	2437
316	1129	2433
317	1133	2430
318	1136	2426
319	1140	2423
320	1144	2420
321	1148	2417
322	1151	2413
323	1155	2410
324	1158	2406
325	1162	2402
326	1165	2398
327	1168	2394
328	1172	2390
329	1175	2387
330	1179	2383
331	1182	2379
332	1185	2375
333	1189	2371
334	1193	2369
335	1197	2365
336	1201	2363
337	1204	2359
338	1208	2356
339	1212	2352
340	1215	2348
341	1218	2344
342	1222	2340
343	1225	2337
344	1229	2334
345	1232	2330
346	1235	2325
347	1239	2321
348	1243	2318
349	1246	2315
350	1249	2311
351	1253	2307
352	1257	2304
353	1261	2301
354	1264	2296
355	1267	2292
356	1271	2290
357	1275	2286
358	1278	2283
359	1282	2280
360	1286	2277
361	1290	2273
362	1293	2270
363	1297	2267
364	1301	2265
365	1306	2262
366	1309	2259
367	1313	2255
368	1317	2252
369	1321	2250
370	1324	2246
371	1328	2242
372	1332	2240
373	1335	2236
374	1339	2232
375	1342	2228
376	1346	2224
377	1349	2220
378	1353	2217
379	1357	2214
380	1361	2211
381	1364	2208
382	1369	2205
383	1373	2203
384	1377	2200
385	1382	2198
386	1386	2195
387	1390	2192
388	1394	2189
389	1398	2187
390	1401	2183
391	1405	2180
392	1409	2177
393	1413	2174
394	1417	2170
395	1420	2167
396	1424	2163
397	1427	2159
398	1431	2156
399	1435	2152
400	1438	2149
401	1442	2145
402	1446	2142
403	1449	2138
404	1453	2134
405	1456	2131
406	1459	2127
407	1463	2124
408	1468	2121
409	1472	2118
410	1475	2115
411	1479	2111
412	1483	2108
413	1487	2105
414	1491	2102
415	1495	2099
416	1498	2095
417	1502	2091
418	1505	2088
419	1509	2084
420	1512	2080
421	1515	2076
422	1519	2072
423	1522	2068
424	1526	2064
425	1529	2061
426	1533	2057
427	1536	2054
428	1541	2052
429	1545	2048
430	1548	2044
431	1552	2040
432	1555	2037
433	1559	2033
434	1562	2029
435	1566	2026
436	1570	2022
437	1573	2018
438	1576	2014
439	1580	2011
440	1584	2007
441	1587	2004
442	1591	2001
443	1595	1997
444	1599	1994
445	1602	1991
446	1606	1987
447	1610	1984
448	1613	1980
449	1617	1977
450	1621	1973
451	1625	1971
452	1629	1968
453	1633	1964
454	1636	1960
455	1640	1957
456	1643	1953
457	1648	1951
458	1652	1947
459	1655	1943
460	1659	1940
461	1663	1937
462	1666	1933
463	1670	1929
464	1674	1926
465	1677	1922
466	1681	1918
467	1685	1915
468	1689	1912
469	1693	1909
470	1696	1905
471	1700	1901
472	1703	1898
473	1707	1894
474	1710	1890
475	1714	1887
476	1718	1883
477	1721	1880
478	1725	1876
479	1728	1872
480	1732	1869
481	1735	1865
482	1739	1861
483	1743	1858
484	1746	1854
485	1749	1850
486	1753	1847
487	1758	1844
488	1761	1840
489	1765	1837
490	1768	1833
491	1772	1830
492	1776	1826
493	1781	1824
494	1784	1820
495	1787	1816
496	1791	1813
497	1795	1809
498	1799	1806
499	1802	1802
500	1805	1798
501	1810	1796
502	1814	1792
503	1817	1789
504	1821	1785
505	1824	1781
506	1828	1777
507	1831	1774
508	1835	1770
509	1839	1766
510	1842	1763
511	1846	1759
512	1849	1756
513	1854	1753
514	1858	1750
515	1862	1746
516	1865	1742
517	1870	1740
518	1874	1736
519	1878	1733
520	1881	1729
521	1885	1726
522	1889	1723
523	1892	1719
524	1896	1715
525	1899	1711
526	1903	1708
527	1907	1704
528	1911	1701
529	1915	1698
530	1918	1694
531	1921	1690
532	1925	1686
533	1928	1683
534	1931	1679
535	1935	1675
536	1939	1671
537	1942	1668
538	1946	1664
539	1949	1660
540	1953	1656
541	1957	1654
542	1961	1650
543	1965	1647
544	1968	1643
545	1972	1640
546	1976	1636
547	1980	1633
548	1983	1629
549	1987	1626
550	1991	1623
551	1995	1619
552	1998	1615
553	2002	1611
554	2005	1607
555	2009	1604
556	2013	1601
557	2016	1597
558	2019	1593
559	2023	1590
560	2027	1586
561	2030	1582
562	2034	1579
563	2038	1575
564	2041	1572
565	2045	1568
566	2049	1564
567	2052	1561
568	2057	1558
569	2061	1554
570	2065	1551
571	2070	1549
572	2074	1545
573	2077	1541
574	2081	1538
575	2085	1535
576	2089	1531
577	2093	1528
578	2096	1524
579	2101	1521
580	2105	1518
581	2108	1514
582	2112	1511
583	2116	1507
584	2120	1503
585	2123	1500
586	2127	1496
587	2132	1494
588	2135	1490
589	2138	1486
590	2143	1483
591	2146	1479
592	2150	1475
593	2153	1472
594	2157	1468
595	2160	1464
596	2164	1461
597	2168	1457
598	2171	1453
599	2174	1449
600	2178	1446
601	2182	1443
602	2186	1439
603	2190	1436
604	2194	1432
605	2198	1429
606	2201	1425
607	2205	1421
608	2208	1418
609	2212	1414
610	2216	1411
611	2219	1407
612	2223	1404
613	2227	1400
614	2231	1397
615	2235	1393
616	2238	1389
617	2242	1386
618	2246	1382
619	2250	1379
620	2253	1375
621	2257	1372
622	2261	1368
623	2265	1364
624	2268	1361
625	2271	1357
626	2275	1353
627	2280	1350
628	2284	1347
629	2288	1343
630	2291	1339
631	2294	1336
632	2298	1332
633	2301	1328
634	2305	1325
635	2309	1321
636	2313	1318
637	2316	1314
638	2320	1310
639	2325	1307
640	2328	1304
641	2331	1300
642	2335	1296
643	2338	1292
644	2343	1289
645	2347	1286
646	2350	1282
647	2353	1278
648	2357	1274
649	2360	1271
650	2363	1267
651	2367	1263
652	2370	1259
653	2374	1256
654	2378	1252
655	2381	1248
656	2385	1245
657	2389	1241
658	2392	1237
659	2395	1234
660	2399	1230
661	2403	1227
662	2407	1223
663	2411	1220
664	2414	1216
665	2417	1212
666	2421	1208
667	2424	1205
668	2428	1201
669	2432	1197
670	2435	1194
671	2439	1190
672	2442	1186
673	2446	1183
674	2449	1179
675	2454	1176
676	2457	1172
677	2461	1168
678	2465	1165
679	2468	1161
680	2472	1157
681	2476	1154
682	2480	1151
683	2483	1147
684	2487	1143
685	2491	1140
686	2494	1136
687	2498	1132
688	2501	1129
689	2505	1125
690	2508	1121
691	2512	1118
692	2515	1114
693	2518	1110
694	2521	1106
695	2525	1103
696	2528	1099
697	2531	1095
698	2536	1092
699	2541	1089
700	2544	1085
701	2548	1081
702	2552	1078
703	2555	1074
704	2559	1070
705	2563	1067
706	2566	1063
707	2570	1060
708	2573	1056
709	2576	1052
710	2580	1048
711	2584	1045
712	2587	1041
713	2591	1037
714	2595	1034
715	2598	1030
716	2602	1027
717	2605	1023
718	2609	1020
719	2613	1016
720	2617	1012
721	2621	1009
722	2624	1005
723	2628	1002
724	2632	998
725	2636	995
726	2640	991
727	2643	987
728	2647	984
729	2650	980
730	2654	976
731	2658	973
732	2662	969
733	2665	966
734	2669	962
735	2672	958
736	2676	955
737	2680	951
738	2684	948
739	2688	944
740	2692	941
741	2697	937
742	2701	934
743	2704	930
744	2708	927
745	2711	923
746	2715	919
747	2718	915
748	2721	911
749	2726	908
750	2729	905
751	2733	901
752	2736	897
753	2740	894
754	2743	890
755	2747	886
756	2750	883
757	2754	879
758	2757	875
759	2761	872
760	2764	868
761	2767	864
762	2771	860
763	2775	857
764	2778	853
765	2781	849
766	2785	846
767	2789	842
768	2792	838
769	2795	835
770	2799	831
771	2803	827
772	2807	824
773	2810	820
774	2814	817
775	2817	813
776	2821	809
777	2824	806
778	2828	802
779	2831	798
780	2835	795
781	2839	791
782	2842	787
783	2847	784
784	2851	780
785	2854	777
786	2858	773
787	2861	769
788	2865	766
789	2869	762
790	2872	759
791	2876	755
792	2880	751
793	2883	748
794	2887	744
795	2890	740
796	2894	737
797	2898	733
798	2902	730
799	2906	726
800	2910	723
801	2914	719
802	2919	716
803	2923	712
804	2928	709
805	2932	705
806	2935	702
807	2939	698
808	2942	694
809	2945	691
810	2949	687
811	2953	683
812	2956	680
813	2960	676
814	2964	672
815	2968	669
816	2971	665
817	2975	661
818	2978	658
819	2982	654
820	2986	651
821	2990	647
822	2993	643
823	2997	640
824	3001	636
825	3004	632
826	3008	629
827	3012	625
828	3015	622
829	3019	618
830	3023	614
831	3027	611
832	3031	607
833	3034	604
834	3038	600
835	3041	596
836	3045	593
837	3048	589
838	3052	585
839	3056	582
840	3059	578
841	3063	574
842	3067	571
843	3071	567
844	3075	564
845	3079	560
846	3082	556
847	3086	553
848	3090	549
849	3093	545
850	3097	542
851	3101	538
852	3105	535
853	3110	531
854	3114	528
855	3118	524
856	3123	521
857	3127	517
858	3131	513
859	3135	510
860	3139	506
861	3143	503
862	3146	499
863	3150	495
864	3154	492
865	3157	488
866	3160	484
867	3164	481
868	3168	477
869	3171	473
870	3175	470
871	3179	466
872	3182	463
873	3186	459
874	3189	455
875	3193	451
876	3196	448
877	3200	444
878	3204	441
879	3209	437
880	3212	433
881	3216	430
882	3219	426
883	3223	423
884	3227	419
885	3230	415
886	3234	412
887	3238	408
888	3242	404
889	3245	401
890	3249	397
891	3252	393
892	3256	390
893	3260	386
894	3264	382
895	3267	379
896	3271	375
897	3275	372
898	3279	368
899	3283	364
900	3286	361
901	3290	357
902	3293	353
903	3297	350
904	3301	346
905	3305	342
906	3310	339
907	3314	335
908	3318	332
909	3323	328
910	3328	325
911	3332	321
912	3335	317
913	3339	314
914	3343	310
915	3347	306
916	3350	303
917	3353	299
918	3357	295
919	3363	292
920	3369	288
921	3373	285
922	3378	281
923	3382	278
924	3388	274
925	3392	271
926	3396	267
927	3400	263
928	3404	260
929	3408	256
930	3411	252
931	3415	249
932	3418	245
933	3422	241
934	3425	238
935	3429	234
936	3433	230
937	3437	227
938	3441	223
939	3445	219
940	3448	216
941	3452	212
942	3456	208
943	3460	205
944	3464	201
945	3467	197
946	3472	194
947	3476	190
948	3480	187
949	3483	183
950	3487	179
951	3491	176
952	3495	172
953	3499	168
954	3504	165
955	3508	161
956	3512	157
957	3517	154
958	3522	150
959	3526	146
960	3530	143
