iter	Logloss
0	0.6752511835
1	0.6588852517
2	0.6400742152
3	0.626888565
4	0.6140431596
5	0.6013347043
6	0.5875533995
7	0.5772041812
8	0.5666160928
9	0.5559303435
10	0.5483306927
11	0.5419624728
12	0.5354169839
13	0.5291364468
14	0.5241839117
15	0.5187562485
16	0.5126150079
17	0.5081745646
18	0.5040286143
19	0.4982446399
20	0.4944157173
21	0.4910814857
22	0.4874591024
23	0.4836177265
24	0.4790383919
25	0.4753354262
26	0.4722512894
27	0.4693294144
28	0.4671724328
29	0.4640455478
30	0.4614165465
31	0.4592155011
32	0.4570665029
33	0.4548143961
34	0.4521637071
35	0.4497170648
36	0.4484294064
37	0.4467197766
38	0.4444069771
39	0.4425112172
40	0.4406948428
41	0.4391249739
42	0.4374749124
43	0.4361557729
44	0.434812151
45	0.4333196135
46	0.4316350276
47	0.4301474762
48	0.4285766345
49	0.4274450886
50	0.4258944339
51	0.4244869826
52	0.4230347406
53	0.4216493574
54	0.419879971
55	0.4186497546
56	0.4172813299
57	0.415996702
58	0.4149611583
59	0.4140917388
60	0.4130577801
61	0.4120178858
62	0.4109816775
63	0.409911383
64	0.4089330865
65	0.4080731602
66	0.4070414807
67	0.4063553922
68	0.4055516187
69	0.404556836
70	0.4033173954
71	0.4023468685
72	0.4014103988
73	0.4007272619
74	0.3998426962
75	0.3986869677
76	0.3978058513
77	0.3965697806
78	0.3961149703
79	0.3955908717
80	0.3947718156
81	0.3940831505
82	0.3932005271
83	0.3925162787
84	0.3915690523
85	0.3905312962
86	0.3898023215
87	0.3891914402
88	0.3886556763
89	0.3878245674
90	0.3870166904
91	0.3861624186
92	0.3857221333
93	0.3851598696
94	0.3843375428
95	0.3835780101
96	0.3828180607
97	0.3823099396
98	0.3817531243
99	0.3813317691
100	0.3808792505
101	0.3801109338
102	0.3794210612
103	0.3789089824
104	0.3783400666
105	0.3777770508
106	0.3770779206
107	0.3764235394
108	0.3760639414
109	0.3750509673
110	0.3744903025
111	0.3741963754
112	0.3738952704
113	0.3734894362
114	0.3731022957
115	0.3728033907
116	0.3724046282
117	0.371963437
118	0.3713778981
119	0.3708533604
120	0.3705594698
121	0.3701130606
122	0.3695937981
123	0.3692413727
124	0.3688179907
125	0.3685478647
126	0.3682439455
127	0.3679375392
128	0.3674331581
129	0.3670777308
130	0.3665157044
131	0.3662401922
132	0.3657608286
133	0.3653701651
134	0.3647449746
135	0.364361766
136	0.3637861696
137	0.3633655641
138	0.3630692452
139	0.3627712263
140	0.3624713386
141	0.3142	0.3563142	0.3143	0.3561143	0.144	0.35561144	0.145	0.35527145	0.146	0.35494146	0.147	0.35446147	0.148	0.35427148	0.149	0.35409149	0150	0.353691150	0151	0.353433151	0152	0.353054152	0.3591983099
153	154	0.3524970154	155	0.352258155	0156	0.351925156	0157	0.351619157	0158	0.35137158	0.159	0.35112159	0.160	0.35072160	0.161	0.35037161	0.162	0.35021162	0.163	0.34976163	0.164	0.34960164	0.165	0.34932165	0.166	0.349075006
167	0.3489485859
168	0.3488252032
169	0.3486319642
170	0.3482668347
171	0.3479588384
172	0.3476927861
173	0.3474626017
174	0.3473315456
175	0.3471622702
176	0.3469544163
177	0.346536303
178	0.3463382438
179	0.3461732094
180	0.3460120113
181	0.3457318745
182	0.3455403902
183	0.3453982886
184	0.3452003229
185	0.3449401832
186	0.3443460723
187	0.3440443208
188	0.3438393758
189	0.3437085985
190	0.3434629609
191	0.34333622
192	0.3431808277
