iter	Passed	Remaining
0	66	66523
1	75	37871
2	84	27926
3	95	23815
4	105	20980
5	113	18839
6	124	17591
7	132	16440
8	142	15657
9	151	15042
10	161	14491
11	168	13908
12	178	13520
13	187	13204
14	196	12898
15	206	12683
16	215	12452
17	224	12242
18	232	12003
19	242	11875
20	251	11705
21	258	11504
22	266	11329
23	275	11186
24	283	11048
25	291	10937
26	302	10887
27	310	10763
28	318	10679
29	326	10571
30	336	10508
31	344	10432
32	353	10364
33	361	10264
34	369	10175
35	377	10100
36	386	10068
37	395	10009
38	405	9996
39	413	9926
40	422	9884
41	431	9836
42	441	9815
43	449	9767
44	458	9729
45	466	9673
46	474	9621
47	484	9609
48	492	9568
49	501	9533
50	511	9517
51	520	9491
52	530	9471
53	539	9454
54	547	9407
55	556	9375
56	565	9359
57	574	9330
58	581	9274
59	590	9251
60	599	9233
61	608	9212
62	616	9171
63	625	9146
64	634	9129
65	642	9097
66	650	9063
67	660	9048
68	669	9032
69	679	9025
70	689	9026
71	699	9010
72	708	8997
73	717	8972
74	726	8965
75	736	8958
76	745	8939
77	755	8928
78	765	8921
79	774	8906
80	784	8895
81	793	8877
82	802	8871
83	812	8860
84	821	8841
85	831	8834
86	840	8816
87	849	8806
88	858	8791
89	867	8770
90	876	8755
91	885	8741
92	894	8721
93	902	8698
94	911	8684
95	922	8683
96	931	8668
97	940	8660
98	950	8646
99	958	8628
100	967	8614
101	976	8598
102	985	8579
103	994	8569
104	1002	8542
105	1011	8527
106	1018	8502
107	1027	8489
108	1036	8475
109	1045	8460
110	1054	8442
111	1062	8427
112	1070	8404
113	1080	8394
114	1088	8378
115	1097	8361
116	1106	8349
117	1115	8338
118	1123	8318
119	1133	8312
120	1143	8306
121	1151	8284
122	1158	8261
123	1167	8247
124	1176	8232
125	1184	8218
126	1194	8210
127	1202	8191
128	1210	8172
129	1218	8152
130	1226	8136
131	1235	8121
132	1244	8110
133	1251	8089
134	1259	8072
135	1268	8055
136	1276	8040
137	1286	8036
138	1295	8023
139	1305	8016
140	1314	8006
141	1321	79851142	1330	79751143	1341	79731144	1351	79681145	1363	79741146	1373	79701147	1384	79671148	1394	79631149	1403	79541150	1412	79421151	1422	79341152	1432	7932
153	1442	79221154	1451	79151155	1463	79151156	1471	79011157	1481	78941158	1491	78901159	1501	78801160	1510	78711161	1519	78601162	1529	78551163	1540	78511164	1551	78491165	1559	78321166	1567	7819167	1621	8028
168	1631	8021
169	1661	8111
170	1674	8117
171	1684	8109
172	1692	8092
173	1703	8089
174	1713	8075
175	1722	8066
176	1732	8055
177	1742	8047
178	1753	8043
179	1762	8030
180	1772	8019
181	1782	8012
182	1792	8002
183	1802	7992
184	1812	7983
185	1822	7974
186	1834	7974
187	1842	7957
188	1857	7970
189	1873	7987
190	1885	7985
191	1894	7973
192	1906	7971
193	1916	7961
194	1925	7947
195	1935	7941
196	1944	7925
197	1956	7924
198	1965	7910
199	1973	7895
200	1984	7889
201	1994	7877
202	2004	7869
203	2014	7861
204	2024	7849
205	2034	7840
206	2043	7827
207	2054	7821
208	2063	7809
209	2072	7798
210	2083	7790
211	2092	7778
212	2102	7766
213	2110	7750
214	2122	7748
215	2131	7736
216	2140	7722
217	2149	7709
218	2159	7702
219	2169	7692
220	2181	7687
221	2191	7679
222	2201	7670
223	2210	7658
224	2220	7647
225	2230	7637
226	2239	7627
227	2249	7615
228	2257	7601
229	2266	7589
230	2277	7580
231	2285	7565
232	2294	7554
233	2303	7539
234	2311	7525
235	2320	7513
236	2330	7502
237	2342	7499
238	2351	7488
239	2360	7475
240	2370	7464
241	2379	7453
242	2388	7440
243	2396	7425
244	2405	7414
245	2415	7402
246	2424	7392
247	2433	7379
248	2444	7373
249	2456	7368
250	2466	7358
251	2476	7350
252	2485	7339
253	2495	7330
254	2506	7322
255	2517	7315
256	2527	7305
257	2537	7296
258	2546	7285
259	2555	7273
260	2576	7295
261	2587	7288
262	2598	7281
263	2608	7271
264	2619	7264
265	2628	7252
266	2636	7238
267	2646	7229
268	2654	7214
269	2664	7204
270	2674	7193
271	2684	7184
272	2692	7169
273	2701	7158
274	2710	7146
275	2720	7137
276	2730	7126
277	2739	7114
278	2749	7104
279	2759	7095
280	2768	7083
281	2778	7075
282	2789	7068
283	2799	7057
284	2808	7046
285	2819	7038
286	2830	7031
287	2840	7021
288	2851	7014
289	2859	7001
290	2869	6991
291	2879	6981
292	2892	6979
293	2901	6968
294	2911	6959
295	2923	6954
296	2935	6949
297	2944	6936
298	2954	6927
299	2964	6917
300	2973	6905
301	2982	6892
302	2992	6883
303	3001	6871
304	3010	6860
305	3020	6851
306	3031	6842
307	3041	6833
308	3052	6825
309	3059	6809
310	3069	6800
311	3077	6785
312	3087	6777
313	3097	6767
314	3109	6762
315	3118	6750
316	3127	6739
317	3136	6726
318	3144	6712
319	3153	6700
320	3162	6690
321	3171	6678
322	3180	6667
323	3191	6658
324	3204	6654
325	3212	6641
326	3222	6631
327	3231	6621
328	3239	6607
329	3248	6595
330	3257	6584
331	3267	6575
332	3275	6561
333	3284	6549
334	3293	6538
335	3303	6527
336	3311	6515
337	3320	6502
338	3328	6489
339	3338	6481
340	3346	6467
341	3354	6453
342	3364	6444
343	3374	6434
344	3383	6422
345	3394	6415
346	3403	6405
347	3412	6394
348	3423	6385
349	3434	6378
350	3442	6364
351	3450	6352
352	3459	6340
353	3468	6329
354	3476	6317
355	3486	6306
356	3495	6295
357	3504	6284
358	3513	6273
359	3521	6260
360	3530	6249
361	3539	6238
362	3548	6226
363	3557	6215
364	3566	6204
365	3575	6193
366	3584	6182
367	3593	6171
368	3601	6158
369	3613	6152
370	3622	6141
371	3632	6131
372	3640	6118
373	3648	6106
374	3661	6102
375	3673	6096
376	3682	6085
377	3691	6074
378	3699	6061
379	3710	6054
380	3720	6044
381	3728	6032
382	3737	6021
383	3746	6010
384	3755	5998
385	3765	5989
386	3775	5980
387	3784	5969
388	3792	5957
389	3802	5947
390	3812	5938
391	3820	5925
392	3832	5919
393	3841	5907
394	3850	5897
395	3859	5887
396	3868	5875
397	3876	5863
398	3886	5853
399	3895	5842
400	3903	5831
401	3913	5821
402	3922	5810
403	3931	5799
404	3939	5787
405	3948	5777
406	3958	5767
407	3968	5758
408	3979	5749
409	3988	5739
410	3999	5731
411	4010	5723
412	4019	5713
413	4038	5716
414	4049	5708
415	4058	5697
416	4071	5691
417	4079	5680
418	4087	5668
419	4096	5656
420	4105	5646
421	4114	5635
422	4123	5624
423	4133	5614
424	4141	5603
425	4153	5597
426	4163	5586
427	4171	5575
428	4182	5566
429	4190	5555
430	4199	5544
431	4209	5534
432	4217	5522
433	4226	5512
434	4237	5503
435	4246	5492
436	4255	5482
437	4265	5472
438	4273	5461
439	4281	5449
440	4291	5439
441	4300	5429
442	4309	5418
443	4318	5408
444	4329	5399
445	4343	5395
446	4396	5439
447	4419	5445
448	4430	5437
449	4460	5451
450	4495	5472
451	4545	5511
452	4614	5572
453	4626	5563
454	4660	5581
455	4682	5586
456	4701	5586
457	4710	5574
458	4760	5610
459	4863	5709
460	4879	5705
461	4911	5719
462	4944	5734
463	4952	5721
464	4964	5712
465	4979	5706
466	4989	5695
467	5128	5829
468	5168	5851
469	5176	5837
470	5187	5826
471	5207	5825
472	5217	5813
473	5259	5836
474	5343	5906
475	5353	5893
476	5363	5880
477	5374	5869
478	5428	5904
479	5437	5891
480	5475	5908
481	5484	5894
482	5593	5987
483	5607	5977
484	5620	5968
485	5630	5955
486	5639	5940
487	5651	5929
488	5665	5920
489	5677	5909
490	5696	5905
491	5706	5891
492	5716	5878
493	5838	5980
494	5889	6008
495	5898	5994
496	5913	5984
4497	5952	6000
498	5961	59854499	5974	5974500	6020	5996
501	6056	6007
5502	6053	5981503	6095	5998
5504	6087	5966505	6147	6002
5506	6184	60145507	6193	5998508	6248	6027
509	6271	6025
510	6279	6009
511	6288	5993
5512	6268	59505513	6337	5992
514	6347	59775515	6428	6029
516	6458	6033517	6585	6127
518	6632	6146
519	6665	6152
520	6674	6136
521	6693	6129
522	6706	6116
523	6717	6102
524	6725	6084
525	6767	6098
526	6792	6096
527	6810	6088
528	6843	6093
529	6852	6076
530	6965	6152
531	6976	6137
532	6985	6120
533	6994	6104
534	7004	6088
535	7013	6071
536	7021	6053
537	7029	6036
5538	7009	59955539	7019	5979540	7076	6003
541	7094	5995
542	7249	6100
543	7334	6148
544	7356	6141
545	7365	6124
5546	7337	6076
547	7345	60585548	7359	60455549	7367	6027550	7431	6055
5551	7425	6026
552	7501	6063
553	7551	6079
554	7564	6065
555	7574	60485556	7664	60965557	7683	60865558	7693	60695559	7701	60505560	7715	60375561	7786	6068
562	7807	60595563	7913	6117
564	7922	6099565	8022	6151
5566	8036	61365567	8055	61265568	8063	61085569	8083	6098570	8139	6115
5571	8115	6072
572	8135	6062
573	8144	6044
574	8152	6026
575	8285	6098
576	8306	6089
577	8318	6073
578	8331	6058
579	8347	6044
580	8404	6061
581	8415	6044
582	8435	6033
583	8446	6016
584	8482	6017
585	8491	5999
586	8579	6036
587	8587	6017
588	8595	5998
589	8609	5982
590	8617	5963
591	8641	5955
592	8650	5936
593	8659	5918
594	8711	5929
595	8737	5923
596	8746	5904
597	8786	5906
598	8795	5888
599	8804	5869
600	8814	58526601	8826	5835
602	8846	5824
603	8857	5807
604	8866	57886605	8879	57736606	8892	5757607	8956	5774
608	9020	5791
609	9198	5880
610	9212	5865
611	9221	5846
612	9232	5828
613	9241	5809
614	9260	5797
615	9283	5787
616	9293	5768
617	9330	5767
618	9339	5748
619	9348	5729
620	9505	5801
621	9579	5821
622	9588	5802
623	9608	5789
624	9621	5773
625	9631	5754
626	9644	5737
627	9653	5718
628	9706	5724
629	9716	5706
630	9825	5745
631	9930	5782
632	9971	5781
633	9991	5767
634	10001	5749
635	10021	5735
636	10041	5721
637	10064	5710
638	10078	5693
639	10087	5674
640	10096	5654
641	10209	5693
642	10221	5675
643	10241	5661
644	10254	5643
645	10262	5623
646	10275	5606
647	10329	5611
648	10341	5592
649	10383	5591
650	10392	5571
651	10401	5551
652	10456	5556
653	10466	5537
654	10479	5519
655	10581	5549
656	10591	5529
657	10603	5511
658	10648	5509
659	10660	5491
660	10669	5471
661	10678	5452
662	10705	5441
663	10716	5422
664	10725	5402
665	10734	5383
666	10743	5363
667	10753	5344
668	10762	5324
669	10772	5305
670	10785	5288
671	10795	5269
672	10807	5251
673	10819	5233
674	10842	5220
675	10850	5200
676	10861	5182
677	10872	5163
678	10882	5144
679	10892	5126
680	10904	5108
681	10913	5088
682	10923	5069
683	10933	5051
684	10943	5032
685	10954	5014
686	10968	4997
687	10978	4978
688	10989	4960
689	10998	4941
690	11008	4922
691	11019	4904
692	11029	4886
693	11040	4867
694	11050	4849
695	11061	4831
696	11071	4812
697	11081	4794
698	11090	4775
699	11099	4756
700	11108	4738
701	11117	4719
702	11126	4700
703	11135	4682
704	11144	4663
705	11153	4644
706	11162	4626
707	11172	4607
708	11181	4589
709	11190	4570
710	11199	4552
711	11208	4533
712	11216	4515
713	11226	4496
714	11236	4478
715	11245	4460
716	11254	4442
717	11263	4423
718	11273	4405
719	11282	4387
720	11291	4369
721	11300	4351
722	11310	4333
723	11321	4315
724	11330	4297
725	11339	4279
726	11350	4262
727	11359	4244
728	11370	4226
729	11381	4209
730	11390	4191
731	11399	4173
732	11408	4155
733	11417	4137
734	11426	4119
735	11437	4102
736	11446	4084
737	11455	4067
738	11465	4049
739	11475	4031
740	11483	4013
741	11491	3995
742	11501	3978
743	11510	3960
744	11519	3942
745	11528	3925
746	11537	3907
747	11546	3890
748	11556	3872
749	11564	3854
750	11574	3837
751	11583	3820
752	11591	3802
753	11600	3784
754	11609	3767
755	11617	3749
756	11626	3732
757	11636	3715
758	11645	3697
759	11654	3680
760	11663	3662
761	11672	3645
762	11682	3628
763	11691	3611
764	11700	3594
765	11708	3576
766	11718	3559
767	11727	3542
768	11736	3525
769	11745	3508
770	11754	3491
771	11763	3474
772	11772	3457
773	11781	3440
774	11790	3423
775	11799	3405
776	11808	3389
777	11818	3372
778	11831	3356
779	11840	3339
780	11850	3323
781	11860	3306
782	11870	3289
783	11879	3273
784	11888	3256
785	11897	3239
786	11907	3222
787	11916	3205
788	11925	3189
789	11936	3172
790	11946	3156
791	11955	3139
792	11964	3123
793	11972	3106
794	11982	3089
795	11991	3073
796	12000	3056
797	12008	3039
798	12018	3023
799	12026	3006
800	12035	2990
801	12043	2973
802	12053	2956
803	12062	2940
804	12071	2924
805	12080	2907
806	12089	2891
807	12098	2874
808	12107	2858
809	12115	2841
810	12124	2825
811	12133	2809
812	12142	2792
813	12151	2776
814	12161	2760
815	12170	2744
816	12179	2728
817	12188	2711
818	12197	2695
819	12206	2679
820	12216	2663
821	12225	2647
822	12234	2631
823	12244	2615
824	12254	2599
825	12262	2583
826	12271	2567
827	12279	2550
828	12288	2534
829	12297	2518
830	12307	2502
831	12319	2487
832	12329	2471
833	12339	2456
834	12349	2440
835	12358	2424
836	12367	2408
837	12377	2392
838	12386	2376
839	12395	2360
840	12403	2345
841	12412	2329
842	12422	2313
843	12432	2297
844	12441	2282
845	12450	2266
846	12460	2250
847	12468	2234
848	12476	2219
849	12484	2203
850	12493	2187
851	12502	2171
852	12511	2156
853	12521	2140
854	12530	2125
855	12540	2109
856	12549	2094
857	12557	2078
858	12567	2062
859	12576	2047
860	12584	2031
861	12592	2016
862	12602	2000
863	12612	1985
864	12621	1969
865	12630	1954
866	12641	1939
867	12651	1924
868	12662	1908
869	12672	1893
870	12680	1878
871	12689	1862
872	12698	1847
873	12707	1831
874	12716	1816
875	12726	1801
876	12735	1786
877	12744	1770
878	12753	1755
879	12762	1740
880	12771	1725
881	12781	1709
882	12788	1694
883	12798	1679
884	12807	1664
885	12817	1649
886	12826	1634
887	12835	1618
888	12843	1603
889	12853	1588
890	12861	1573
891	12870	1558
892	12879	1543
893	12888	1528
894	12896	1512
895	12904	1497
896	12912	1482
897	12922	1467
898	12931	1452
899	12939	1437
900	12949	1422
901	12960	1408
902	12969	1393
903	12978	1378
904	12987	1363
905	12996	1348
906	13004	1333
907	13014	1318
908	13023	1303
909	13032	1288
910	13041	1274
911	13050	1259
912	13059	1244
913	13068	1229
914	13077	1214
915	13086	1200
916	13094	1185
917	13103	1170
918	13111	1155
919	13120	1140
920	13129	1126
921	13138	1111
922	13147	1096
923	13156	1082
924	13165	1067
925	13175	1052
926	13184	1038
927	13192	1023
928	13201	1008
929	13210	994
930	13220	979
931	13228	965
932	13237	950
933	13246	936
934	13254	921
935	13262	906
936	13269	892
937	13278	877
938	13287	863
939	13297	848
940	13307	834
941	13317	819
